"","column","use"
"1","rdlkey",FALSE
"2","sqlrr",FALSE
"3","dnum",FALSE
"4","lap",FALSE
"5","sec",FALSE
"6","stint",FALSE
"7","tyre",FALSE
"8","newtyrestatus",FALSE
"9","inlap",FALSE
"10","outlap",FALSE
"11","pstime",FALSE
"12","penalty",FALSE
"13","isscar",FALSE
"14","tlap",FALSE
"15","ltnps",FALSE
"16","tyrereplace",FALSE
"17","isred",FALSE
"18","screstart",FALSE
"19","temptelapse",FALSE
"20","tempisleader",FALSE
"21","templeadlap",FALSE
"22","tempdrank",FALSE
"23","templeadgap",FALSE
"24","tempcomflead",FALSE
"25","temptgap",FALSE
"26","isoutlier0",FALSE
"27","tempdidot",FALSE
"28","tempgotot",FALSE
"29","tempdidlap",FALSE
"30","tempgotlap",FALSE
"31","iswet",FALSE
"32","impsec",FALSE
"33","starttelapse",FALSE
"34","endtelapse",FALSE
"35","startrank",FALSE
"36","endrank",FALSE
"37","starttgap",FALSE
"38","endtgap",FALSE
"39","wasblocked",FALSE
"40","leadgap",FALSE
"41","comflead",FALSE
"42","leadlap",FALSE
"43","didot",FALSE
"44","gotot",FALSE
"45","didlap",FALSE
"46","gotlap",FALSE
"47","isgood0",FALSE
"48","isgood4",FALSE
"49","isgood30",FALSE
"50","chupdcleardcoef34",FALSE
"51","chupdclearnumob34",FALSE
"52","chupdblockdcoef34",FALSE
"53","chupdblocknumob34",FALSE
"54","mod34upddcoef",FALSE
"55","mod34updsddcoef",FALSE
"56","mod34meanfinpos",FALSE
"57","mod34modalfinposprob",FALSE
"58","mod34lockedin",FALSE
"59","isoutlierop",FALSE
"60","isgoodop",FALSE
"61","chupdcleardcoef30",FALSE
"62","chupdblockdcoef30",FALSE
"63","chupdclearnumob30",FALSE
"64","chupdblocknumob30",FALSE
