"","column","use"
"1","sqlrr",FALSE
"2","dnum",FALSE
"3","car",FALSE
"4","tyre",FALSE
"5","startinggrid",FALSE
"6","classification",FALSE
"7","stint",FALSE
"8","speedtrap",FALSE
"9","q1",FALSE
"10","sqlrrdnum",FALSE
"11","q2",FALSE
"12","q3",FALSE
"13","qualprednvalid",FALSE
"14","qualrawdcoef",FALSE
"15","modqualqualdcoef",FALSE
"16","mod4rawdcoef",FALSE
"17","mod4predmse",FALSE
"18","mod4prednumout",FALSE
"19","mod4prednvalid",FALSE
"20","mod4dcoef",FALSE
"21","mod4qualdcoef",FALSE
"22","mod34dcoef",FALSE
"23","mod34prednvalid",FALSE
"24","mod34blockdcoef",FALSE
"25","mod34blockprednvalid",FALSE
"26","mod34cleardcoef",FALSE
"27","mod34clearprednvalid",FALSE
"28","anycarproblem",FALSE
"29","confidentcarproblem",FALSE
"30","officialfinpos",FALSE
"31","mod30dcoef",FALSE
"32","mod30qualdcoef",FALSE
"33","mod30predmse",FALSE
"34","mod30rawdcoef",FALSE
"35","mod30prednumout",FALSE
"36","mod30prednvalid",FALSE
"37","havedrivercomment",FALSE
"38","mod31dcoef",FALSE
"39","mod31prednvalid",FALSE
"40","mod31blockdcoef",FALSE
"41","mod31blockprednvalid",FALSE
"42","mod31cleardcoef",FALSE
"43","mod31clearprednvalid",FALSE
