year,team, driver1,driver2
2011,renault,vpetrov,nheidfeld
2011,renault,vpetrov,bsenna
2012,lotus,kraikkonen,jdambrosio
2013,lotus,rgrosjean,kraikkonen
2013,lotus,rgrosjean,hkovalainen
2015,marussia,wstevens,arossi
2015,marussia,wstevens,rmehri
2015,mclaren,jbutton,falonso
2016,manor,pwehrlein,eocon
2016,mclaren,jbutton,falonso
2016,red bull,dricciardo,dkvyat
2017,mclaren,svandoorne,falonso
2017,mclaren,svandoorne,jbutton
2017,renault,nhulkenberg,jpalmer
2017,renault,nhulkenberg,csainz
2017,sauber,mericsson,agiovinazzi
2017,williams,lstroll,fmassa
2019,red bull,mverstappen,pgasly
2019,red bull,mverstappen,aalbon
2019,toro rosso,dkvyat,aalbon
