"racename","driver","startlap","interrupt"
"2010bahrain","svettel",1,NA
"2010bahrain","svettel",18,NA
"2010bahrain","vpetrov",1,NA
"2010bahrain","rbarrichello",1,NA
"2010bahrain","rbarrichello",20,NA
"2010bahrain","asutil",1,NA
"2010bahrain","asutil",16,NA
"2010bahrain","nhulkenberg",1,NA
"2010bahrain","nhulkenberg",4,NA
"2010bahrain","nhulkenberg",26,NA
"2010bahrain","kkobayashi",1,NA
"2010bahrain","sbuemi",1,NA
"2010bahrain","sbuemi",26,NA
"2010bahrain","jalguersuari",1,NA
"2010bahrain","jalguersuari",14,NA
"2010bahrain","jalguersuari",27,NA
"2010bahrain","mwebber",1,NA
"2010bahrain","mwebber",17,NA
"2010bahrain","hkovalainen",1,NA
"2010bahrain","hkovalainen",31,NA
"2010bahrain","jtrulli",1,NA
"2010bahrain","jtrulli",25,NA
"2010bahrain","kchandhok",1,NA
"2010bahrain","vliuzzi",1,NA
"2010bahrain","vliuzzi",21,NA
"2010bahrain","tglock",1,NA
"2010bahrain","lhamilton",1,NA
"2010bahrain","lhamilton",16,NA
"2010bahrain","pdelarosa",1,NA
"2010bahrain","pdelarosa",15,NA
"2010bahrain","bsenna",1,NA
"2010bahrain","bsenna",12,NA
"2010bahrain","jbutton",1,NA
"2010bahrain","jbutton",17,NA
"2010bahrain","rkubica",1,NA
"2010bahrain","rkubica",13,NA
"2010bahrain","falonso",1,NA
"2010bahrain","falonso",17,NA
"2010bahrain","ldigrassi",1,NA
"2010bahrain","fmassa",1,NA
"2010bahrain","fmassa",18,NA
"2010bahrain","mschumacher",1,NA
"2010bahrain","mschumacher",16,NA
"2010bahrain","nrosberg",1,NA
"2010bahrain","nrosberg",17,NA
"2010greatbritain","svettel",1,NA
"2010greatbritain","svettel",2,NA
"2010greatbritain","vpetrov",1,NA
"2010greatbritain","vpetrov",16,NA
"2010greatbritain","vpetrov",41,NA
"2010greatbritain","rbarrichello",1,NA
"2010greatbritain","rbarrichello",13,NA
"2010greatbritain","asutil",1,NA
"2010greatbritain","asutil",16,NA
"2010greatbritain","nhulkenberg",1,NA
"2010greatbritain","nhulkenberg",28,NA
"2010greatbritain","kkobayashi",1,NA
"2010greatbritain","kkobayashi",13,NA
"2010greatbritain","sbuemi",1,NA
"2010greatbritain","sbuemi",17,NA
"2010greatbritain","jalguersuari",1,NA
"2010greatbritain","jalguersuari",29,NA
"2010greatbritain","mwebber",1,NA
"2010greatbritain","mwebber",18,NA
"2010greatbritain","hkovalainen",1,NA
"2010greatbritain","hkovalainen",23,NA
"2010greatbritain","jtrulli",1,NA
"2010greatbritain","jtrulli",26,NA
"2010greatbritain","kchandhok",1,NA
"2010greatbritain","kchandhok",23,NA
"2010greatbritain","vliuzzi",1,NA
"2010greatbritain","vliuzzi",29,NA
"2010greatbritain","tglock",1,NA
"2010greatbritain","tglock",25,NA
"2010greatbritain","lhamilton",1,NA
"2010greatbritain","lhamilton",17,NA
"2010greatbritain","pdelarosa",1,NA
"2010greatbritain","pdelarosa",14,NA
"2010greatbritain","pdelarosa",27,NA
"2010greatbritain","jbutton",1,NA
"2010greatbritain","jbutton",22,NA
"2010greatbritain","rkubica",1,NA
"2010greatbritain","rkubica",14,NA
"2010greatbritain","falonso",1,NA
"2010greatbritain","falonso",13,NA
"2010greatbritain","falonso",50,NA
"2010greatbritain","ldigrassi",1,NA
"2010greatbritain","syamamoto",1,NA
"2010greatbritain","syamamoto",21,NA
"2010greatbritain","fmassa",1,NA
"2010greatbritain","fmassa",2,NA
