"race","driver","1stFree","2ndFree","3rdFree","1stQualif","2ndQualif","3rdQualif"
"2010bahrain","asutil",116.583,117.361,115.521,115.213,114.996,116.309
"2010bahrain","bsenna",NA,126.968,124.001,123.24,NA,NA
"2010bahrain","falonso",116.766,117.14,114.099,114.612,114.172,114.608
"2010bahrain","fmassa",117.055,116.555,114.739,115.313,114.331,114.242
"2010bahrain","hkovalainen",123.848,120.873,119.789,120.313,NA,NA
"2010bahrain","jalguersuari",117.722,119.799,116.504,117.071,NA,NA
"2010bahrain","jbutton",117.068,116.076,115,115.715,115.168,115.672
"2010bahrain","jtrulli",123.97,120.99,121.259,119.852,NA,NA
"2010bahrain","kchandhok",NA,NA,NA,124.904,NA,NA
"2010bahrain","kkobayashi",121.388,117.352,116.53,116.541,116.27,NA
"2010bahrain","ldigrassi",NA,122.188,NA,120.587,NA,NA
"2010bahrain","lhamilton",117.163,115.854,115.86,115.341,114.707,115.217
"2010bahrain","mschumacher",117.662,115.903,114.533,115.593,115.105,115.524
"2010bahrain","mwebber",117.255,120.444,114.5,115.298,114.318,115.284
"2010bahrain","nhulkenberg",117.894,116.501,115.461,116.375,115.857,NA
"2010bahrain","nrosberg",117.199,115.409,114.368,115.463,114.682,115.241
"2010bahrain","pdelarosa",120.25,117.255,116.063,116.428,116.237,NA
"2010bahrain","rbarrichello",118.782,117.452,116.259,115.969,115.33,NA
"2010bahrain","rkubica",117.041,118.155,115.331,115.511,114.963,115.885
"2010bahrain","sbuemi",118.399,NA,116.295,116.189,116.265,NA
"2010bahrain","svettel",117.943,116.459,114.646,115.029,113.883,114.101
"2010bahrain","tglock",123.68,122.037,119.173,119.728,NA,NA
"2010bahrain","vliuzzi",117.194,117.833,115.432,115.628,115.653,NA
"2010bahrain","vpetrov",118.88,116.75,116.811,116.167,116.619,NA
"2010australia","asutil",NA,86.834,85.525,85.504,85.046,86.036
"2010australia","bsenna",93.401,NA,96.649,90.526,NA,NA
"2010australia","falonso",87.747,89.025,84.929,85.082,84.335,84.111
"2010australia","fmassa",87.511,89.591,85.549,85.548,85.01,84.837
"2010australia","hkovalainen",91.654,89.86,89.539,88.797,NA,NA
"2010australia","jalguersuari",88.572,90.51,86.368,86.095,86.089,NA
"2010australia","jbutton",87.482,86.076,85.399,84.897,84.531,84.675
"2010australia","jtrulli",91.652,90.695,89.8,89.111,NA,NA
"2010australia","kchandhok",94.251,NA,94.334,90.613,NA,NA
"2010australia","kkobayashi",91.588,87.455,86.275,86.251,85.777,NA
"2010australia","ldigrassi",92.831,NA,90.8,90.185,NA,NA
"2010australia","lhamilton",87.793,85.801,85.505,85.046,85.184,NA
"2010australia","mschumacher",88.55,86.511,84.963,85.351,84.871,84.927
"2010australia","mwebber",88.683,86.248,84.719,85.286,84.276,84.035
"2010australia","nhulkenberg",90.249,87.545,86.804,85.866,85.748,NA
"2010australia","nrosberg",87.126,86.956,85.366,84.788,84.788,84.884
"2010australia","pdelarosa",89.465,87.108,86.818,86.089,85.747,NA
"2010australia","rbarrichello",89.712,86.904,85.852,85.702,85.085,85.217
"2010australia","rkubica",86.927,87.108,86.184,85.588,85.122,85.372
"2010australia","sbuemi",88.014,86.832,86.104,86.061,85.638,NA
"2010australia","svettel",87.686,89.134,85.122,84.774,84.096,83.919
"2010australia","tglock",94.925,92.117,91.114,89.592,NA,NA
