"racename","driver","startlap","endlap","explanation"
"2010bahrain","svettel",33,49,"exhaust"
"2010bahrain","tglock",13,16,"gearbox"
"2010bahrain","bsenna",11,17,"radiator"
"2010australia","ldigrassi",23,26,"hydraulics"
"2010malaysia","jtrulli",40,51,"accident damage"
"2010spain","rbarrichello",60,65,"tyres"
"2010spain","svettel",60,66,"brakes"
"2010turkey","tglock",50,55,"hydraulic pressure"
"2010canada","vpetrov",1,18,"accident damage"
"2010canada","jtrulli",39,42,"vibration"
"2010canada","ldigrassi",57,65,"hydraulic pressure"
"2010germany","ldigrassi",50,51,"rear suspension"
"2010belgium","bsenna",1,5,"accident damage"
"2010singapore","sbuemi",0,3,"accident damage"
"2010singapore","tglock",43,50,"hydraulics"
"2010singapore","nheidfeld",30,36,"accident damage"
"2010japan","jtrulli",48,51,"hydraulics"
"2010japan","lhamilton",38,53,"gearbox"
"2010brazil","ldigrassi",57,62,"suspension"
"2011australia","mschumacher",1,19,"accident damage"
"2011europe","mwebber",53,57,"gearbox"
"2011singapore","jtrulli",44,47,"gearbox"
"2011india","dricciardo",28,32,"wheel"
"2011india","tglock",1,2,"accident damage"
"2012australia","cpic",50,53,"fuel pressure"
"2012monaco","kkobayashi",1,5,"accident damage"
"2012monaco","mschumacher",58,63,"fuel pressure"
"2012greatbritain","pdiresta",1,2,"accident damage"
"2012korea","lhamilton",20,55,"anti-roll bar"
"2013monaco","sperez",67,73,"brakes"
"2013monaco","gvandergarde",11,24,"KERS"
"2013singapore","mwebber",53,61,"water pressure"
"2013japan","lhamilton",1,7,"accident damage"
"2014australia","pmaldonado",1,29,"engine"
"2014australia","asutil",1,10,"powertrain"
"2014malaysia","pmaldonado",1,7,"turbo"
"2014malaysia","dricciardo",40,49,"front wing"
"2014malaysia","jbianchi",1,8,"brakes"
"2014bahrain","kkobayashi",44,57,"low fuel"
"2014bahrain","jbianchi",13,56,"accident damage"
"2014china","asutil",1,5,"engine"
"2014monaco","kkobayashi",37,76,"accident damage"
"2014monaco","lhamilton",65,78,"object in eye"
"2014canada","lhamilton",36,47,"brakes"
"2014canada","nrosberg",37,70,"brakes"
"2014greatbritain","nrosberg",20,28,"gearbox"
"2014belgium","rgrosjean",27,33,"accident damage"
"2014belgium","lhamilton",1,38,"accident damage"
"2014belgium","fmassa",1,21,"accident damage"
"2014italy","dkvyat",52,54,"brakes"
"2014singapore","egutierrez",14,18,"electrics"
"2014singapore","nrosberg",1,13,"electronics"
"2014brazil","vbottas",0,6,"seat belts"
"2014abudhabi","nrosberg",23,54,"loss of ERS"
"2015malaysia","jbutton",40,42,"broken turbo"
"2015china","pmaldonado",48,49,"brakes"
"2015monaco","pmaldonado",1,5,"hydraulic leak"
"2015austria","csainz",30,35,"loss of electric power"
"2015greatbritain","dricciardo",15,21,"electrics"
"2015hungary","kraikkonen",39,56,"engine failure"
"2015hungary","csainz",56,60,"engine problem"
"2015belgium","jbutton",1,42,"ERS"
"2015belgium","csainz",0,3,"engine problem"
"2015singapore","lhamilton",25,32,"engine problem"
"2015singapore","fmassa",27,30,"gearbox problem"
"2015japan","fmassa",1,51,"accident damage"
"2015russia","mverstappen",1,53,"accident damage"
"2015usa","kraikkonen",21,25,"accident damage"
"2015usa","falonso",48,56,"engine problem"
"2016australia","sperez",54,57,"brakes"
"2016australia","mericsson",1,38,"damaged wheel"
"2016australia","pwehrlein",52,56,"brakes"
"2016bahrain","lhamilton",1,57,"collision damage"
"2016bahrain","csainz",1,29,"collision damage"
"2016china","lhamilton",1,56,"collision damage"
"2016russia","dricciardo",1,52,"collision damage"
"2016russia","lhamilton",38,53,"water pressure"
"2016russia","csainz",0,11,"collision damage"
"2016spain","rgrosjean",54,56,"brakes"
"2016europe","lhamilton",1,51,"no ERS"
"2016europe","dkvyat",1,6,"suspension"
"2016europe","falonso",37,42,"gearbox"
"2016europe","pwehrlein",32,39,"brakes"
"2016austria","falonso",1,64,"down on power engine"
"2016austria","rharyanto",1,18,"electronics"
"2016hungary","jbutton",1,7,"brakes"
"2016hungary","fmassa",1,68,"steering"
"2016germany","fmassa",1,36,"collision damage"
"2016germany","rharyanto",0,13,"collision damage"
"2016belgium","lnasr",1,43,"collision damage"
"2016belgium","mverstappen",1,44,"collision damage"
"2016italy","dkvyat",1,36,"collision damage"
"2016italy","lnasr",1,6,"collision damage"
"2016italy","jpalmer",1,7,"collision damage"
"2016singapore","vbottas",1,35,"collision damage"
"2016singapore","jbutton",1,43,"collision damage"
"2016singapore","csainz",46,60,"ERS"
"2016malaysia","egutierrez",1,39,"collision damage"
"2016malaysia","kmagnussen",1,17,"collision damage"
"2016usa","sperez",1,55,"collision damage"
"2016usa","vbottas",1,55,"collision damage"
"2017australia","dricciardo",1,25,"gearbox"
"2017australia","mericsson",1,21,"collision damage"
"2017australia","falonso",16,50,"damaged brake duct"
"2017australia","jpalmer",1,15,"brakes"
"2017australia","svandoorne",0,9,"faulty dashboard"
"2017bahrain","vbottas",0,14,"tyre pressures"
"2017russia","lhamilton",1,52,"overheating"
"2017canada","svettel",0,11,"front wing damage"
"2017canada","kraikkonen",59,70,"brakes"
"2017azerbaijan","sperez",22,39,"collision damage"
"2017azerbaijan","kraikkonen",1,46,"accident damage"
"2017azerbaijan","mericsson",35,51,"debris damage"
"2017azerbaijan","jpalmer",1,7,"misfire"
"2017austria","csainz",1,44,"misfire"
"2017greatbritain","svettel",50,51,"puncture"
"2017greatbritain","kraikkonen",49,51,"puncture"
"2017greatbritain","dkvyat",1,50,"collision damage"
"2017greatbritain","lstroll",36,50,"bodywork damage"
"2017hungary","rgrosjean",1,20,"collision damage"
"2017belgium","sperez",33,42,"collision damage"
"2017belgium","pwehrlein",1,2,"suspension"
"2017italy","mericsson",1,49,"collision damage"
