"rdate","country","circuit","perim","nlap","totdist","htmlname","racename"
"20160320","australia","melbourne","5303","57","302.271","20160001","2016australia"
"20160403","bahrain","bahrain","5412","57","308.238","20160002","2016bahrain"
"20160417","china","shanghai","5451","56","305.066","20160003","2016china"
"20160501","russia","sochi","5848","53","309.745","20160004","2016russia"
"20160515","spain","catalunya","4655","66","307.104","20160005","2016spain"
"20160529","monaco","monte carlo","3337","78","260.286","20160006","2016monaco"
"20160612","canada","montreal","4361","70","305.270","20160007","2016canada"
"20160619","europe","baku","6003","51","306.049","20160008","2016europe"
"20160703","austria","red bull ring","4326","71","307.020","20160009","2016austria"
"20160710","great britain","silverstone","5891","52","306.198","20160010","2016greatbritain"
"20160724","hungary","hungaroring","4381","70","306.630","20160011","2016hungary"
"20160731","germany","hockenheim","4574","67","306.458","20160012","2016germany"
"20160828","belgium","spa francorchamps","7004","44","308.052","20160013","2016belgium"
"20160904","italy","monza","5793","53","306.720","20160014","2016italy"
"20160918","singapore","marina bay","5065","61","308.828","20160015","2016singapore"
"20161002","malaysia","sepang","5543","56","310.408","20160016","2016malaysia"
"20161009","japan","suzuka","5807","53","307.471","20160017","2016japan"
"20161023","usa","americas","5513","56","308.405","20160018","2016usa"
"20161030","mexico","mexico city","4304","71","305.354","20160019","2016mexico"
"20161113","brazil","interlagos","4309","71","305.909","20160020","2016brazil"
"20161127","abu dhabi","yas marina","5554","55","305.355","20160021","2016abudhabi"
