"date","country","circuit","perim","nlap","totdist","htmlname","racename"
2018-03-25,"australia","melbourne","5303","58","307.574","20180001","2018australia"
2018-04-08,"bahrain","bahrain","5412","57","308.238","20180002","2018bahrain"
2018-04-15,"china","shanghai","5451","56","305.066","20180003","2018china"
2018-04-29,"azerbaijan","baku","6003","51","306.049","20180004","2018azerbaijan"
2018-05-13,"spain","catalunya","4655","66","307.104","20180005","2018spain"
2018-05-27,"monaco","monte carlo","3337","78","260.286","20180006","2018monaco"
2018-06-10,"canada","montreal","4361","70","305.270","19670008","2018canada"
2018-06-24,"france","paul ricard","5842","53","309.626","19500006","2018france"
2018-07-01,"austria","red bull ring","4318","71","307.020","19640007","2018austria"
2018-07-08,"great britain","silverstone","5891","52","306.198","19500001","2018greatbritain"
2018-07-22,"germany","hockenheim","4574","67","306.458","19510006","2018germany"
2018-07-29,"hungary","hungaroring","4381","70","306.630","19860011","2018hungary"
2018-08-26,"belgium","spa francorchamps","7004","44","308.052","19500005","2018belgium"
2018-09-02,"italy","monza","5793","53","306.720","19500007","2018italy"
2018-09-16,"singapore","marina bay","5065","61","308.828","20080015","2018singapore"
2018-09-30,"russia","sochi","5848","53","309.745","20070924","2018russia"
2018-10-07,"japan","suzuka","5807","53","307.471","19760016","2018japan"
2018-10-21,"usa","americas","5513","56","308.405","19590009","2018usa"
2018-10-28,"mexico","mexico city","4304","71","305.354","19630009","2018mexico"
2018-11-11,"brazil","interlagos","4309","71","305.909","19730002","2018brazil"
2018-11-25,"abu dhabi","yas marina","5554","55","305.355","20090018","2018abudhabi"
