racename,driver,TLA
2016australia,mverstappen,VES
2016bahrain,mverstappen,VES
2016china,mverstappen,VES
2016russia,mverstappen,VES
2016spain,mverstappen,VES
2016monaco,mverstappen,VES
2016canada,mverstappen,VES
2016europe,mverstappen,VES
2016austria,mverstappen,VES
2016greatbritain,mverstappen,VES
2016hungary,mverstappen,VES
2016germany,mverstappen,VES
2016belgium,mverstappen,VES
2016italy,mverstappen,VES
2016singapore,mverstappen,VES
2016malaysia,mverstappen,VES
2016japan,mverstappen,VES
2016usa,mverstappen,VES
2016mexico,mverstappen,VES
2016brazil,mverstappen,VES
2016abudhabi,mverstappen,VES
