"rr","racename","illoss","olloss","medpstime","notpittime","nvalidstop"
1,"2010bahrain",2.80200000000001,19.887,23.671,3.355,20
2,"2010australia",21.1,7.8,24,3.18,NA
3,"2010malaysia",3.501,19.858,23.254,4.61050000000002,22
4,"2010china",NA,NA,24.421,NA,NA
5,"2010spain",3.01099999999999,18.841,22.3285,2.729,24
6,"2010monaco",18.958,3.959,26.67,7.63300000000001,17
7,"2010turkey",0.349000000000004,18.24,23.476,4.96749999999999,25
8,"2010canada",16.076,2.47,22.8785,6.90299999999999,53
9,"2010europe",16,6.25,21.15,5.3,7
10,"2010greatbritain",4.58500000000001,18.7365,20.869,2.06699999999999,23
11,"2010germany",2.82599999999999,14.8785,19.259,3.896,24
12,"2010hungary",3.4,18.4,21.3,2.8,6
13,"2010belgium",4.3,14.5,22.5,8.5,12
14,"2010italy",3.48700000000001,20.117,22.918,2.97,21
15,"2010singapore",8,21.4,30,8.7,11
16,"2010japan",1.70499999999998,19.141,21.861,2.494,15
17,"2010korea",NA,NA,25.2955,NA,NA
18,"2010brazil",4.05949999999999,16.096,21.927,5.94900000000001,26
19,"2010abudhabi",1.83650000000002,20.405,20.957,0.338999999999984,16
20,"2011australia",21.218,8.29050000000001,24.262,3.456,41
21,"2011malaysia",4.811,20.017,23.2015,3.25399999999999,56
22,"2011china",5.36499999999999,19.0665,21.964,2.8415,55
23,"2011turkey",0.549999999999997,17.2375,21.838,4.4025,77
24,"2011spain",3.31999999999999,18.792,20.881,2.47600000000001,76
25,"2011monaco",20.4,3.93699999999999,26.421,6.23100000000001,29
26,"2011canada",NA,NA,24.0975,NA,NA
27,"2011europe",15.805,6.49299999999998,21.168,5.44350000000001,64
28,"2011greatbritain",-3.34400000000001,19.7355,24.849,4.8015,29
29,"2011germany",2.63049999999999,18.662,20.9785,2.337,50
30,"2011hungary",2.66099999999999,19.2765,21.715,1.77950000000001,17
31,"2011belgium",4.02500000000001,13.553,21.766,8.09499999999998,31
32,"2011italy",4.13499999999999,19.1445,22.614,3.14150000000001,31
33,"2011singapore",8.98299999999999,22.94,30.821,7.78099999999999,45
34,"2011japan",2.74100000000001,18.52,21.726,3.09399999999999,55
35,"2011korea",4.56999999999999,18.528,21.916,3.17900000000002,39
36,"2011india",3.14900000000001,19.404,22.4955,2.997,40
37,"2011abudhabi",2.0135,21.004,20.5875,-0.303999999999988,38
38,"2011brazil",4.11799999999999,15.575,21.583,5.986,57
39,"2012australia",20.816,6.72000000000001,23.8295,3.1415,28
40,"2012malaysia",NA,NA,24.718,NA,NA
41,"2012china",4.55800000000001,17.7175,21.494,3.70249999999999,54
42,"2012bahrain",2.74300000000001,19.6395,22.903,3.371,70
43,"2012spain",2.92299999999999,18.127,20.902,2.867,63
44,"2012monaco",19.272,4.08749999999999,26.063,6.577,21
45,"2012canada",14.9305,2.451,21.7185,7.116,34
46,"2012europe",16.12,5.802,21.103,5.33099999999999,35
47,"2012greatbritain",-1.976,18.2045,25.854,7.7135,39
48,"2012germany",2.686,14.789,18.4695,3.7875,56
49,"2012hungary",3.04700000000001,17.46,20.336,2.62599999999999,55
50,"2012belgium",4.054,13.011,21.291,8.154,35
51,"2012italy",3.47900000000001,19.245,22.3065,3.226,30
52,"2012singapore",7.80999999999999,21.999,30.4225,8.39650000000001,39
53,"2012japan",2.402,17.7815,21.343,3.3265,41
54,"2012korea",4.64500000000001,16.97,20.86,4.20999999999998,39
55,"2012india",2.712,18.1555,22.025,3.65349999999999,24
56,"2012abudhabi",1.648,19.3915,20.319,0.710999999999999,18
57,"2012usa",1.3775,20.97,22.3605,1.35550000000001,24
58,"2012brazil",4.5,16.5,22.4,6,NA
59,"2013australia",19.448,6.655,22.704,3.47500000000002,53
60,"2013malaysia",3.265,18.456,22.394,3.809,51
61,"2013china",4.511,16.648,20.716,4.081,40
62,"2013bahrain",2.69050000000001,18.689,22.246,3.705,66
63,"2013spain",2.987,17.395,19.908,2.74900000000001,74
64,"2013monaco",19.318,3.2855,25.225,6.01900000000001,17
65,"2013canada",14.491,2.21299999999999,21.315,7.03700000000001,41
66,"2013greatbritain",-1.92400000000001,17.96,25.244,7.75,45
67,"2013germany",2.61100000000002,16.7515,20.302,3.59399999999999,45
