"racename","qs","driver","predqt","qualprob","qualwgt"
"2010bahrain",1,"falonso",114.969,1,0
"2010bahrain",1,"svettel",114.578,1,0
"2010bahrain",1,"asutil",116.194,0.958,0.356
"2010bahrain",1,"mwebber",114.753,1,0
"2010bahrain",1,"fmassa",115.244,1,0
"2010bahrain",1,"lhamilton",115.135,1,0
"2010bahrain",1,"nrosberg",115.504,0.997,0
"2010bahrain",1,"rkubica",115.57,1,0
"2010bahrain",1,"mschumacher",115.757,0.998,0
"2010bahrain",1,"vliuzzi",116.529,0.857,1
"2010bahrain",1,"jbutton",115.345,1,0
"2010bahrain",1,"rbarrichello",115.91,0.987,0.033
"2010bahrain",1,"vpetrov",116.424,0.901,0.989
"2010bahrain",1,"sbuemi",116.524,0.844,1
"2010bahrain",1,"nhulkenberg",116.243,0.956,0.378
"2010bahrain",1,"pdelarosa",116.48,0.895,1
"2010bahrain",1,"kkobayashi",116.492,0.865,1
"2010bahrain",1,"jalguersuari",116.721,0.742,1
"2010bahrain",1,"tglock",119.405,0,1
"2010bahrain",1,"jtrulli",119.045,0,1
"2010bahrain",1,"hkovalainen",119.131,0,1
"2010bahrain",1,"ldigrassi",119.937,0,1
"2010bahrain",1,"bsenna",NA,NA,NA
"2010bahrain",1,"kchandhok",NA,NA,NA
"2010bahrain",2,"svettel",114.578,1,0
"2010bahrain",2,"falonso",114.969,0.983,0.078
"2010bahrain",2,"mwebber",114.753,0.995,0
"2010bahrain",2,"fmassa",115.244,0.95,0.444
"2010bahrain",2,"nrosberg",115.504,0.828,1
"2010bahrain",2,"lhamilton",115.135,0.962,0.311
"2010bahrain",2,"rkubica",115.57,0.82,1
"2010bahrain",2,"asutil",116.194,0.305,1
"2010bahrain",2,"mschumacher",115.757,0.688,1
"2010bahrain",2,"jbutton",115.345,0.93,0.667
"2010bahrain",2,"rbarrichello",115.91,0.562,1
"2010bahrain",2,"vliuzzi",116.529,0.117,1
"2010bahrain",2,"nhulkenberg",116.243,0.264,1
"2010bahrain",2,"pdelarosa",116.48,0.152,1
"2010bahrain",2,"sbuemi",116.524,0.135,1
"2010bahrain",2,"kkobayashi",116.492,0.133,1
"2010bahrain",2,"vpetrov",116.424,0.176,1
"2010bahrain",3,"svettel",114.578,-99,1
"2010bahrain",3,"fmassa",115.244,-99,1
"2010bahrain",3,"falonso",114.969,-99,1
"2010bahrain",3,"lhamilton",115.135,-99,1
"2010bahrain",3,"nrosberg",115.504,-99,1
"2010bahrain",3,"mwebber",114.753,-99,1
"2010bahrain",3,"mschumacher",115.757,-99,1
"2010bahrain",3,"jbutton",115.345,-99,1
"2010bahrain",3,"rkubica",115.57,-99,1
"2010bahrain",3,"asutil",116.194,-99,1
"2010australia",1,"svettel",84.177,1,0
"2010australia",1,"nrosberg",85.099,0.997,0
"2010australia",1,"jbutton",84.926,0.998,0
"2010australia",1,"lhamilton",84.721,1,0
"2010australia",1,"falonso",84.566,1,0
"2010australia",1,"mwebber",84.328,1,0
"2010australia",1,"mschumacher",85.35,0.995,0
"2010australia",1,"asutil",85.779,0.962,0.311
"2010australia",1,"fmassa",84.856,1,0
"2010australia",1,"rkubica",85.15,0.999,0
"2010australia",1,"rbarrichello",85.511,0.994,0
"2010australia",1,"nhulkenberg",85.84,0.949,0.456
"2010australia",1,"sbuemi",86.119,0.847,1
"2010australia",1,"pdelarosa",86.075,0.883,1
"2010australia",1,"jalguersuari",86.301,0.752,1
"2010australia",1,"vliuzzi",86.139,0.838,1
"2010australia",1,"kkobayashi",86.085,0.877,1
"2010australia",1,"vpetrov",86.007,0.909,0.9
"2010australia",1,"hkovalainen",88.692,0,1
"2010australia",1,"jtrulli",88.613,0,1
"2010australia",1,"tglock",88.986,0,1
"2010australia",1,"ldigrassi",89.508,0,1
"2010australia",1,"bsenna",90.054,0,1
"2010australia",1,"kchandhok",90.311,0,1
"2010australia",2,"svettel",84.177,0.998,0
"2010australia",2,"mwebber",84.328,0.995,0
"2010australia",2,"falonso",84.566,0.991,0
"2010australia",2,"jbutton",84.926,0.92,0.778
"2010australia",2,"nrosberg",85.099,0.858,1
"2010australia",2,"mschumacher",85.35,0.713,1
"2010australia",2,"fmassa",84.856,0.954,0.4
"2010australia",2,"asutil",85.779,0.323,1
"2010australia",2,"rbarrichello",85.511,0.594,1
"2010australia",2,"rkubica",85.15,0.826,1
"2010australia",2,"lhamilton",84.721,0.975,0.167
"2010australia",2,"sbuemi",86.119,0.116,1
"2010australia",2,"vliuzzi",86.139,0.11,1
"2010australia",2,"pdelarosa",86.075,0.132,1
"2010australia",2,"nhulkenberg",85.84,0.303,1
"2010australia",2,"kkobayashi",86.085,0.135,1
"2010australia",2,"jalguersuari",86.301,0.057,1
"2010australia",3,"svettel",84.177,-99,1
"2010australia",3,"mwebber",84.328,-99,1
"2010australia",3,"falonso",84.566,-99,1
"2010australia",3,"jbutton",84.926,-99,1
"2010australia",3,"fmassa",84.856,-99,1
"2010australia",3,"nrosberg",85.099,-99,1
"2010australia",3,"mschumacher",85.35,-99,1
"2010australia",3,"rbarrichello",85.511,-99,1
"2010australia",3,"rkubica",85.15,-99,1
"2010australia",3,"asutil",85.779,-99,1
"2010malaysia",1,"rkubica",NA,NA,NA
"2010malaysia",1,"pdelarosa",NA,NA,NA
"2010malaysia",1,"svettel",NA,NA,NA
"2010malaysia",1,"vpetrov",NA,NA,NA
"2010malaysia",1,"kkobayashi",NA,NA,NA
"2010malaysia",1,"jalguersuari",NA,NA,NA
"2010malaysia",1,"sbuemi",NA,NA,NA
"2010malaysia",1,"asutil",NA,NA,NA
"2010malaysia",1,"nhulkenberg",NA,NA,NA
"2010malaysia",1,"vliuzzi",NA,NA,NA
"2010malaysia",1,"rbarrichello",NA,NA,NA
"2010malaysia",1,"mwebber",NA,NA,NA
"2010malaysia",1,"jbutton",NA,NA,NA
"2010malaysia",1,"mschumacher",NA,NA,NA
"2010malaysia",1,"tglock",NA,NA,NA
"2010malaysia",1,"nrosberg",NA,NA,NA
"2010malaysia",1,"hkovalainen",NA,NA,NA
"2010malaysia",1,"jtrulli",NA,NA,NA
"2010malaysia",1,"falonso",NA,NA,NA
"2010malaysia",1,"lhamilton",NA,NA,NA
"2010malaysia",1,"fmassa",NA,NA,NA
"2010malaysia",1,"kchandhok",NA,NA,NA
"2010malaysia",1,"bsenna",NA,NA,NA
"2010malaysia",1,"ldigrassi",NA,NA,NA
"2010malaysia",2,"svettel",NA,NA,NA
"2010malaysia",2,"rkubica",NA,NA,NA
"2010malaysia",2,"asutil",NA,NA,NA
"2010malaysia",2,"nhulkenberg",NA,NA,NA
"2010malaysia",2,"nrosberg",NA,NA,NA
"2010malaysia",2,"kkobayashi",NA,NA,NA
"2010malaysia",2,"mwebber",NA,NA,NA
"2010malaysia",2,"vliuzzi",NA,NA,NA
"2010malaysia",2,"rbarrichello",NA,NA,NA
"2010malaysia",2,"mschumacher",NA,NA,NA
"2010malaysia",2,"vpetrov",NA,NA,NA
"2010malaysia",2,"pdelarosa",NA,NA,NA
"2010malaysia",2,"sbuemi",NA,NA,NA
"2010malaysia",2,"jalguersuari",NA,NA,NA
"2010malaysia",2,"hkovalainen",NA,NA,NA
"2010malaysia",2,"tglock",NA,NA,NA
"2010malaysia",3,"mwebber",NA,NA,NA
"2010malaysia",3,"nrosberg",NA,NA,NA
"2010malaysia",3,"svettel",NA,NA,NA
"2010malaysia",3,"asutil",NA,NA,NA
"2010malaysia",3,"nhulkenberg",NA,NA,NA
"2010malaysia",3,"rkubica",NA,NA,NA
"2010malaysia",3,"rbarrichello",NA,NA,NA
"2010malaysia",3,"mschumacher",NA,NA,NA
"2010malaysia",3,"kkobayashi",NA,NA,NA
"2010malaysia",3,"vliuzzi",NA,NA,NA
"2010china",1,"lhamilton",95.06,1,0
"2010china",1,"nrosberg",95.479,0.999,0
"2010china",1,"mwebber",94.681,1,0
"2010china",1,"falonso",94.963,1,0
"2010china",1,"fmassa",95.258,1,0
"2010china",1,"jbutton",95.284,0.999,0
"2010china",1,"svettel",94.567,1,0
"2010china",1,"rkubica",95.49,1,0
"2010china",1,"mschumacher",95.738,0.995,0
"2010china",1,"jalguersuari",96.657,0.764,1
"2010china",1,"rbarrichello",95.907,0.986,0.044
"2010china",1,"asutil",96.125,0.963,0.3
