"racename","qs","driver","isoutlier"
"2010bahrain",1,"falonso",0
"2010bahrain",1,"svettel",0
"2010bahrain",1,"asutil",0
"2010bahrain",1,"mwebber",0
"2010bahrain",1,"fmassa",0
"2010bahrain",1,"lhamilton",0
"2010bahrain",1,"nrosberg",0
"2010bahrain",1,"rkubica",0
"2010bahrain",1,"mschumacher",0
"2010bahrain",1,"vliuzzi",0
"2010bahrain",1,"jbutton",0
"2010bahrain",1,"rbarrichello",0
"2010bahrain",1,"vpetrov",0
"2010bahrain",1,"sbuemi",0
"2010bahrain",1,"nhulkenberg",0
"2010bahrain",1,"pdelarosa",0
"2010bahrain",1,"kkobayashi",0
"2010bahrain",1,"jalguersuari",0
"2010bahrain",1,"tglock",0
"2010bahrain",1,"jtrulli",0
"2010bahrain",1,"hkovalainen",0
"2010bahrain",1,"ldigrassi",0
"2010bahrain",1,"bsenna",1
"2010bahrain",1,"kchandhok",1
"2010bahrain",2,"svettel",0
"2010bahrain",2,"falonso",0
"2010bahrain",2,"mwebber",0
"2010bahrain",2,"fmassa",0
"2010bahrain",2,"nrosberg",0
"2010bahrain",2,"lhamilton",0
"2010bahrain",2,"rkubica",0
"2010bahrain",2,"asutil",0
"2010bahrain",2,"mschumacher",0
"2010bahrain",2,"jbutton",0
"2010bahrain",2,"rbarrichello",0
"2010bahrain",2,"vliuzzi",0
"2010bahrain",2,"nhulkenberg",0
"2010bahrain",2,"pdelarosa",0
"2010bahrain",2,"sbuemi",0
"2010bahrain",2,"kkobayashi",0
"2010bahrain",2,"vpetrov",0
"2010bahrain",3,"svettel",0
"2010bahrain",3,"fmassa",0
"2010bahrain",3,"falonso",0
"2010bahrain",3,"lhamilton",0
"2010bahrain",3,"nrosberg",0
"2010bahrain",3,"mwebber",0
"2010bahrain",3,"mschumacher",0
"2010bahrain",3,"jbutton",0
"2010bahrain",3,"rkubica",0
"2010bahrain",3,"asutil",0
"2010australia",1,"svettel",0
"2010australia",1,"nrosberg",0
"2010australia",1,"jbutton",0
"2010australia",1,"lhamilton",0
"2010australia",1,"falonso",0
"2010australia",1,"mwebber",0
"2010australia",1,"mschumacher",0
"2010australia",1,"asutil",0
"2010australia",1,"fmassa",0
"2010australia",1,"rkubica",0
"2010australia",1,"rbarrichello",0
"2010australia",1,"nhulkenberg",0
"2010australia",1,"sbuemi",0
"2010australia",1,"pdelarosa",0
"2010australia",1,"jalguersuari",0
"2010australia",1,"vliuzzi",0
"2010australia",1,"kkobayashi",0
"2010australia",1,"vpetrov",0
"2010australia",1,"hkovalainen",0
"2010australia",1,"jtrulli",0
"2010australia",1,"tglock",0
"2010australia",1,"ldigrassi",0
"2010australia",1,"bsenna",0
"2010australia",1,"kchandhok",0
"2010australia",2,"svettel",0
"2010australia",2,"mwebber",0
"2010australia",2,"falonso",0
"2010australia",2,"jbutton",0
"2010australia",2,"nrosberg",0
"2010australia",2,"mschumacher",0
"2010australia",2,"fmassa",0
"2010australia",2,"asutil",0
"2010australia",2,"rbarrichello",0
"2010australia",2,"rkubica",0
"2010australia",2,"lhamilton",0
"2010australia",2,"sbuemi",0
"2010australia",2,"vliuzzi",0
"2010australia",2,"pdelarosa",0
"2010australia",2,"nhulkenberg",0
"2010australia",2,"kkobayashi",0
"2010australia",2,"jalguersuari",0
"2010australia",3,"svettel",0
"2010australia",3,"mwebber",0
"2010australia",3,"falonso",0
"2010australia",3,"jbutton",0
"2010australia",3,"fmassa",0
"2010australia",3,"nrosberg",0
"2010australia",3,"mschumacher",0
"2010australia",3,"rbarrichello",0
"2010australia",3,"rkubica",0
"2010australia",3,"asutil",0
"2010malaysia",1,"rkubica",0
"2010malaysia",1,"pdelarosa",0
"2010malaysia",1,"svettel",0
"2010malaysia",1,"vpetrov",0
"2010malaysia",1,"kkobayashi",0
"2010malaysia",1,"jalguersuari",0
"2010malaysia",1,"sbuemi",0
"2010malaysia",1,"asutil",0
"2010malaysia",1,"nhulkenberg",0
"2010malaysia",1,"vliuzzi",0
"2010malaysia",1,"rbarrichello",0
"2010malaysia",1,"mwebber",0
"2010malaysia",1,"jbutton",0
"2010malaysia",1,"mschumacher",0
"2010malaysia",1,"tglock",0
"2010malaysia",1,"nrosberg",0
"2010malaysia",1,"hkovalainen",0
"2010malaysia",1,"jtrulli",0
"2010malaysia",1,"falonso",0
"2010malaysia",1,"lhamilton",0
"2010malaysia",1,"fmassa",0
"2010malaysia",1,"kchandhok",0
"2010malaysia",1,"bsenna",0
