"racename","driver","qualrawdcoef","qualprednvalid"
"2010bahrain","svettel",114.101,1
"2010bahrain","asutil",115.955,2.356
"2010bahrain","rbarrichello",115.998,1.033
"2010bahrain","vliuzzi",116.275,2
"2010bahrain","nhulkenberg",116.64,1.378
"2010bahrain","pdelarosa",116.967,2
"2010bahrain","sbuemi",116.861,2
"2010bahrain","kkobayashi",117.04,2
"2010bahrain","vpetrov",117.029,1.989
"2010bahrain","jalguersuari",117.692,1
"2010bahrain","tglock",120.349,1
"2010bahrain","fmassa",114.469,1.444
"2010bahrain","jtrulli",120.473,1
"2010bahrain","hkovalainen",120.934,1
"2010bahrain","ldigrassi",121.208,1
"2010bahrain","bsenna",NA,0
"2010bahrain","kchandhok",NA,0
"2010bahrain","falonso",114.623,1.078
"2010bahrain","lhamilton",115.25,1.311
"2010bahrain","nrosberg",115.285,2
"2010bahrain","mwebber",115.284,1
"2010bahrain","mschumacher",115.638,2
"2010bahrain","jbutton",115.73,1.667
"2010bahrain","rkubica",115.748,2
"2010australia","svettel",83.919,1
"2010australia","asutil",85.638,2.311
"2010australia","lhamilton",85.433,0.167
"2010australia","sbuemi",85.953,2
"2010australia","vliuzzi",86.06,2
"2010australia","pdelarosa",86.022,2
"2010australia","nhulkenberg",85.943,1.456
"2010australia","kkobayashi",86.118,2
"2010australia","jalguersuari",86.196,2
"2010australia","vpetrov",86.429,0.9
"2010australia","hkovalainen",88.755,1
"2010australia","mwebber",84.035,1
"2010australia","jtrulli",89.069,1
"2010australia","tglock",89.55,1
"2010australia","ldigrassi",90.143,1
"2010australia","bsenna",90.484,1
"2010australia","kchandhok",90.571,1
"2010australia","falonso",84.111,1
"2010australia","jbutton",84.721,1.778
"2010australia","fmassa",84.958,1.4
"2010australia","nrosberg",84.961,2
"2010australia","mschumacher",85.024,2
"2010australia","rbarrichello",85.276,2
"2010australia","rkubica",85.372,2
"2010australia","pdiresta",NA,0
"2010malaysia","mwebber",NA,0
"2010malaysia","vliuzzi",NA,0
"2010malaysia","vpetrov",NA,0
"2010malaysia","pdelarosa",NA,0
"2010malaysia","sbuemi",NA,0
"2010malaysia","jalguersuari",NA,0
"2010malaysia","hkovalainen",NA,0
"2010malaysia","tglock",NA,0
"2010malaysia","jbutton",NA,0
"2010malaysia","jtrulli",NA,0
"2010malaysia","falonso",NA,0
"2010malaysia","nrosberg",NA,0
"2010malaysia","lhamilton",NA,0
"2010malaysia","fmassa",NA,0
"2010malaysia","kchandhok",NA,0
"2010malaysia","bsenna",NA,0
"2010malaysia","ldigrassi",NA,0
"2010malaysia","svettel",NA,0
"2010malaysia","asutil",NA,0
"2010malaysia","nhulkenberg",NA,0
"2010malaysia","rkubica",NA,0
"2010malaysia","rbarrichello",NA,0
"2010malaysia","mschumacher",NA,0
"2010malaysia","kkobayashi",NA,0
"2010malaysia","pdiresta",NA,0
"2010malaysia","ffauzy",NA,0
"2010china","svettel",94.558,1
"2010china","asutil",95.789,2.3
"2010china","rbarrichello",95.646,1.044
"2010china","jalguersuari",95.948,2
"2010china","sbuemi",96.086,2
"2010china","vpetrov",96.276,1.811
"2010china","kkobayashi",96.348,2
"2010china","nhulkenberg",96.493,1.378
"2010china","pdelarosa",96.65,2
"2010china","vliuzzi",96.509,1
"2010china","tglock",98.626,1
"2010china","mwebber",94.806,1
"2010china","jtrulli",98.747,1
"2010china","hkovalainen",98.868,1
"2010china","ldigrassi",99.131,1
"2010china","bsenna",99.817,1
"2010china","kchandhok",99.926,1
"2010china","falonso",94.933,1.111
"2010china","nrosberg",94.969,2
"2010china","jbutton",95.129,1.767
"2010china","lhamilton",94.985,1.278
"2010china","fmassa",95.177,1.656
"2010china","rkubica",95.398,2
"2010china","mschumacher",95.621,2
"2010china","pdiresta",NA,0
"2010spain","mwebber",79.995,1
"2010spain","kkobayashi",81.776,3
"2010spain","asutil",81.782,1.244
"2010spain","pdelarosa",81.639,2
"2010spain","nhulkenberg",81.965,1.4
"2010spain","sbuemi",81.966,2
"2010spain","jalguersuari",81.921,2
"2010spain","vliuzzi",82.49,2
"2010spain","rbarrichello",NA,0
"2010spain","jtrulli",83.949,1
"2010spain","vpetrov",82.064,1.844
"2010spain","svettel",80.101,1
"2010spain","hkovalainen",84.023,1
"2010spain","bsenna",86.397,1
"2010spain","tglock",84.75,1
"2010spain","ldigrassi",84.831,1
"2010spain","kchandhok",86.025,1
"2010spain","lhamilton",80.885,1.189
"2010spain","falonso",80.968,1.089
"2010spain","jbutton",80.971,1.578
"2010spain","mschumacher",81.309,2
"2010spain","rkubica",81.36,2
"2010spain","nrosberg",81.521,2
"2010spain","fmassa",81.592,1.422
"2010spain","pdiresta",NA,0
"2010spain","cklien",NA,0
"2010monaco","mwebber",73.826,1
"2010monaco","vliuzzi",75.05,2
"2010monaco","nhulkenberg",75.186,1
"2010monaco","asutil",75.187,1
"2010monaco","sbuemi",75.282,1
"2010monaco","vpetrov",75.445,1
"2010monaco","pdelarosa",75.561,1
"2010monaco","kkobayashi",75.861,1
"2010monaco","jalguersuari",76.045,1
"2010monaco","hkovalainen",77.094,1
"2010monaco","jtrulli",77.134,1
"2010monaco","rkubica",74.269,2
"2010monaco","tglock",77.377,1
"2010monaco","ldigrassi",77.864,1
"2010monaco","bsenna",78.509,1
"2010monaco","kchandhok",79.559,1
"2010monaco","falonso",NA,0
"2010monaco","svettel",74.227,1
"2010monaco","fmassa",74.28,1.456
"2010monaco","lhamilton",74.431,1.022
"2010monaco","nrosberg",74.394,2
"2010monaco","mschumacher",74.575,2
"2010monaco","jbutton",74.75,1.422
"2010monaco","rbarrichello",74.927,2
"2010turkey","mwebber",86.295,1
"2010turkey","kkobayashi",87.749,3
"2010turkey","asutil",87.394,1.189
"2010turkey","falonso",87.43,0.133
"2010turkey","pdelarosa",87.78,2
"2010turkey","sbuemi",88.17,2
"2010turkey","rbarrichello",88.202,1.056
"2010turkey","jalguersuari",88.267,2
"2010turkey","nhulkenberg",88.413,1.522
"2010turkey","vliuzzi",88.673,1
"2010turkey","jtrulli",89.952,1
"2010turkey","lhamilton",86.493,1.178
"2010turkey","hkovalainen",90.234,1
"2010turkey","tglock",90.459,1
"2010turkey","bsenna",90.981,1
"2010turkey","ldigrassi",91.704,1
"2010turkey","kchandhok",91.775,1
"2010turkey","svettel",86.76,1
"2010turkey","jbutton",86.921,1.8
"2010turkey","mschumacher",87.056,2
"2010turkey","nrosberg",86.955,2
"2010turkey","rkubica",87.141,2
"2010turkey","fmassa",87.058,1.589
"2010turkey","vpetrov",87.322,2.644
"2010turkey","syamamoto",NA,0
"2010canada","lhamilton",75.115,1.144
"2010canada","nrosberg",75.864,2
"2010canada","rbarrichello",76.09,1
"2010canada","nhulkenberg",76.091,1.422
"2010canada","mschumacher",76.148,1
"2010canada","vpetrov",76.261,1.633
"2010canada","sbuemi",76.628,2
"2010canada","jalguersuari",76.514,2
"2010canada","pdelarosa",76.983,2
"2010canada","kkobayashi",77.335,1
"2010canada","hkovalainen",77.553,1
"2010canada","svettel",75.42,1
"2010canada","jtrulli",78.014,1
"2010canada","tglock",78.257,1
"2010canada","bsenna",78.8,1
"2010canada","ldigrassi",78.991,1
"2010canada","kchandhok",NA,0
"2010canada","falonso",75.424,1.067
"2010canada","jbutton",75.474,1.611
"2010canada","vliuzzi",75.959,3
"2010canada","fmassa",75.796,1.622
"2010canada","mwebber",75.373,1
"2010canada","rkubica",75.526,2
"2010canada","asutil",75.906,2.211
"2010europe","svettel",97.587,1
"2010europe","vpetrov",98.59,2.589
"2010europe","sbuemi",98.74,2
"2010europe","nrosberg",98.579,1
"2010europe","asutil",98.811,1.144
"2010europe","vliuzzi",98.826,2
"2010europe","mschumacher",99.186,1
"2010europe","pdelarosa",99.033,2
"2010europe","jalguersuari",99.192,2
"2010europe","kkobayashi",99.19,1
"2010europe","jtrulli",100.505,1
"2010europe","mwebber",97.662,1
"2010europe","hkovalainen",100.729,1
"2010europe","ldigrassi",101.933,1
"2010europe","tglock",101.987,1
"2010europe","kchandhok",102.447,1
"2010europe","bsenna",102.698,1
"2010europe","lhamilton",97.989,1.167
"2010europe","falonso",98.082,1.144
"2010europe","fmassa",98.07,1.8
"2010europe","rkubica",98.075,2
"2010europe","jbutton",98.263,1.611
"2010europe","nhulkenberg",98.474,2.211
"2010europe","rbarrichello",98.353,2
"2010europe","pdiresta",NA,0
"2010europe","cklien",NA,0
"2010greatbritain","svettel",89.615,1
"2010greatbritain","mschumacher",91.192,2
"2010greatbritain","asutil",91.271,1.144
"2010greatbritain","kkobayashi",91.472,2
"2010greatbritain","nhulkenberg",91.623,1.211
"2010greatbritain","jbutton",91.632,0.856
"2010greatbritain","vpetrov",91.605,1.544
"2010greatbritain","sbuemi",91.792,2
"2010greatbritain","jalguersuari",92.169,1
"2010greatbritain","hkovalainen",94.144,1
"2010greatbritain","tglock",94.514,1
"2010greatbritain","mwebber",89.758,1
"2010greatbritain","vliuzzi",91.803,2
"2010greatbritain","jtrulli",94.603,1
"2010greatbritain","ldigrassi",94.951,1
"2010greatbritain","kchandhok",96.315,1
"2010greatbritain","syamamoto",96.707,1
"2010greatbritain","falonso",90.454,1.156
"2010greatbritain","lhamilton",90.614,1.133
"2010greatbritain","nrosberg",90.821,2
"2010greatbritain","rkubica",91.158,2
"2010greatbritain","fmassa",91.072,1.778
"2010greatbritain","rbarrichello",91.117,2
"2010greatbritain","pdelarosa",91.269,3
"2010greatbritain","pdiresta",NA,0
"2010greatbritain","ffauzy",NA,0
"2010germany","svettel",73.791,1
"2010germany","nhulkenberg",75.203,2
"2010germany","mschumacher",75.149,1
"2010germany","kkobayashi",75.207,1
"2010germany","vpetrov",75.43,1
"2010germany","pdelarosa",75.673,1
"2010germany","jalguersuari",75.711,1
"2010germany","sbuemi",76.097,1
"2010germany","jtrulli",77.583,1
"2010germany","hkovalainen",78.3,1
"2010germany","asutil",75.59,1
"2010germany","falonso",73.841,1.133
"2010germany","bsenna",78.592,1
"2010germany","vliuzzi",NA,0
"2010germany","syamamoto",79.844,1
"2010germany","tglock",78.343,1
"2010germany","ldigrassi",NA,0
"2010germany","fmassa",74.431,1.833
"2010germany","mwebber",74.347,1
"2010germany","jbutton",74.593,1.678
"2010germany","lhamilton",74.57,1.089
"2010germany","rkubica",75.019,2
"2010germany","rbarrichello",74.965,2
"2010germany","nrosberg",75.16,2
