"racename","driver","anycarproblem","confidentcarproblem"
"2010bahrain","svettel",1,1
"2010bahrain","asutil",0,1
"2010bahrain","rbarrichello",0,1
"2010bahrain","vliuzzi",0,1
"2010bahrain","nhulkenberg",0,1
"2010bahrain","pdelarosa",0,1
"2010bahrain","sbuemi",0,1
"2010bahrain","kkobayashi",0,1
"2010bahrain","vpetrov",0,1
"2010bahrain","jalguersuari",0,1
"2010bahrain","tglock",1,1
"2010bahrain","fmassa",0,1
"2010bahrain","jtrulli",0,1
"2010bahrain","hkovalainen",0,1
"2010bahrain","ldigrassi",0,1
"2010bahrain","bsenna",1,1
"2010bahrain","kchandhok",0,1
"2010bahrain","falonso",0,1
"2010bahrain","lhamilton",0,1
"2010bahrain","nrosberg",0,1
"2010bahrain","mwebber",0,1
"2010bahrain","mschumacher",0,1
"2010bahrain","jbutton",0,1
"2010bahrain","rkubica",0,1
"2010australia","svettel",0,1
"2010australia","asutil",0,1
"2010australia","lhamilton",0,1
"2010australia","sbuemi",0,1
"2010australia","vliuzzi",0,1
"2010australia","pdelarosa",0,1
"2010australia","nhulkenberg",0,1
"2010australia","kkobayashi",0,1
"2010australia","jalguersuari",0,1
"2010australia","vpetrov",0,1
"2010australia","hkovalainen",0,1
"2010australia","mwebber",0,1
"2010australia","jtrulli",0,1
"2010australia","tglock",0,1
"2010australia","ldigrassi",1,1
"2010australia","bsenna",0,1
"2010australia","kchandhok",0,1
"2010australia","falonso",0,1
"2010australia","jbutton",0,1
"2010australia","fmassa",0,1
"2010australia","nrosberg",0,1
"2010australia","mschumacher",0,1
"2010australia","rbarrichello",0,1
"2010australia","rkubica",0,1
"2010australia","pdiresta",0,1
"2010malaysia","mwebber",0,1
"2010malaysia","vliuzzi",0,1
"2010malaysia","vpetrov",0,1
"2010malaysia","pdelarosa",0,1
"2010malaysia","sbuemi",0,1
"2010malaysia","jalguersuari",0,1
"2010malaysia","hkovalainen",0,1
"2010malaysia","tglock",0,1
"2010malaysia","jbutton",0,1
"2010malaysia","jtrulli",1,1
"2010malaysia","falonso",0,1
"2010malaysia","nrosberg",0,1
"2010malaysia","lhamilton",0,1
"2010malaysia","fmassa",0,1
"2010malaysia","kchandhok",0,1
"2010malaysia","bsenna",0,1
"2010malaysia","ldigrassi",0,1
"2010malaysia","svettel",0,1
"2010malaysia","asutil",0,1
"2010malaysia","nhulkenberg",0,1
"2010malaysia","rkubica",0,1
"2010malaysia","rbarrichello",0,1
"2010malaysia","mschumacher",0,1
"2010malaysia","kkobayashi",0,1
"2010malaysia","pdiresta",0,1
"2010malaysia","ffauzy",0,1
"2010china","svettel",0,1
"2010china","asutil",0,1
"2010china","rbarrichello",0,1
"2010china","jalguersuari",0,1
"2010china","sbuemi",0,1
"2010china","vpetrov",0,1
"2010china","kkobayashi",0,1
"2010china","nhulkenberg",0,1
"2010china","pdelarosa",0,1
"2010china","vliuzzi",0,1
"2010china","tglock",0,1
"2010china","mwebber",0,1
"2010china","jtrulli",0,1
"2010china","hkovalainen",0,1
"2010china","ldigrassi",0,1
"2010china","bsenna",0,1
"2010china","kchandhok",0,1
"2010china","falonso",0,1
"2010china","nrosberg",0,1
"2010china","jbutton",0,1
"2010china","lhamilton",0,1
"2010china","fmassa",0,1
"2010china","rkubica",0,1
"2010china","mschumacher",0,1
"2010china","pdiresta",0,1
"2010spain","mwebber",0,1
"2010spain","kkobayashi",0,1
"2010spain","asutil",0,1
"2010spain","pdelarosa",0,1
"2010spain","nhulkenberg",0,1
"2010spain","sbuemi",0,1
"2010spain","jalguersuari",0,1
"2010spain","vliuzzi",0,1
"2010spain","rbarrichello",1,1
"2010spain","jtrulli",0,1
"2010spain","vpetrov",0,1
"2010spain","svettel",1,1
"2010spain","hkovalainen",0,1
"2010spain","bsenna",0,1
"2010spain","tglock",0,1
"2010spain","ldigrassi",0,1
"2010spain","kchandhok",0,1
"2010spain","lhamilton",0,1
"2010spain","falonso",0,1
"2010spain","jbutton",0,1
"2010spain","mschumacher",0,1
"2010spain","rkubica",0,1
"2010spain","nrosberg",0,1
"2010spain","fmassa",0,1
"2010spain","pdiresta",0,1
"2010spain","cklien",0,1
"2010monaco","mwebber",0,1
"2010monaco","vliuzzi",0,1
"2010monaco","nhulkenberg",0,1
"2010monaco","asutil",0,1
"2010monaco","sbuemi",0,1
"2010monaco","vpetrov",0,1
"2010monaco","pdelarosa",0,1
"2010monaco","kkobayashi",0,1
"2010monaco","jalguersuari",0,1
"2010monaco","hkovalainen",0,1
"2010monaco","jtrulli",0,1
"2010monaco","rkubica",0,1
"2010monaco","tglock",0,1
"2010monaco","ldigrassi",0,1
"2010monaco","bsenna",0,1
"2010monaco","kchandhok",0,1
"2010monaco","falonso",0,1
"2010monaco","svettel",0,1
"2010monaco","fmassa",0,1
"2010monaco","lhamilton",0,1
"2010monaco","nrosberg",0,1
"2010monaco","mschumacher",0,1
"2010monaco","jbutton",0,1
"2010monaco","rbarrichello",0,1
"2010turkey","mwebber",0,1
"2010turkey","kkobayashi",0,1
"2010turkey","asutil",0,1
"2010turkey","falonso",0,1
"2010turkey","pdelarosa",0,1
"2010turkey","sbuemi",0,1
"2010turkey","rbarrichello",0,1
"2010turkey","jalguersuari",0,1
"2010turkey","nhulkenberg",0,1
"2010turkey","vliuzzi",0,1
"2010turkey","jtrulli",0,1
"2010turkey","lhamilton",0,1
"2010turkey","hkovalainen",0,1
"2010turkey","tglock",1,1
"2010turkey","bsenna",0,1
"2010turkey","ldigrassi",0,1
"2010turkey","kchandhok",0,1
"2010turkey","svettel",0,1
"2010turkey","jbutton",0,1
"2010turkey","mschumacher",0,1
"2010turkey","nrosberg",0,1
"2010turkey","rkubica",0,1
"2010turkey","fmassa",0,1
"2010turkey","vpetrov",0,1
"2010turkey","syamamoto",0,1
"2010canada","lhamilton",0,1
"2010canada","nrosberg",0,1
"2010canada","rbarrichello",0,1
"2010canada","nhulkenberg",0,1
"2010canada","mschumacher",0,1
"2010canada","vpetrov",1,1
"2010canada","sbuemi",0,1
"2010canada","jalguersuari",0,1
"2010canada","pdelarosa",0,1
"2010canada","kkobayashi",0,1
"2010canada","hkovalainen",0,1
"2010canada","svettel",0,1
"2010canada","jtrulli",1,1
"2010canada","tglock",0,1
"2010canada","bsenna",0,1
"2010canada","ldigrassi",1,1
"2010canada","kchandhok",0,1
"2010canada","falonso",0,1
"2010canada","jbutton",0,1
"2010canada","vliuzzi",0,1
"2010canada","fmassa",0,1
"2010canada","mwebber",0,1
"2010canada","rkubica",0,1
"2010canada","asutil",0,1
"2010europe","svettel",0,1
"2010europe","vpetrov",0,1
"2010europe","sbuemi",0,1
"2010europe","nrosberg",0,1
"2010europe","asutil",0,1
"2010europe","vliuzzi",0,1
"2010europe","mschumacher",0,1
"2010europe","pdelarosa",0,1
"2010europe","jalguersuari",0,1
"2010europe","kkobayashi",0,1
"2010europe","jtrulli",0,1
"2010europe","mwebber",0,1
"2010europe","hkovalainen",0,1
"2010europe","ldigrassi",0,1
"2010europe","tglock",0,1
"2010europe","kchandhok",0,1
"2010europe","bsenna",0,1
"2010europe","lhamilton",0,1
"2010europe","falonso",0,1
"2010europe","fmassa",0,1
"2010europe","rkubica",0,1
"2010europe","jbutton",0,1
"2010europe","nhulkenberg",0,1
"2010europe","rbarrichello",0,1
"2010europe","pdiresta",0,1
"2010europe","cklien",0,1
"2010greatbritain","svettel",0,1
"2010greatbritain","mschumacher",0,1
"2010greatbritain","asutil",0,1
"2010greatbritain","kkobayashi",0,1
"2010greatbritain","nhulkenberg",0,1
"2010greatbritain","jbutton",0,1
"2010greatbritain","vpetrov",0,1
"2010greatbritain","sbuemi",0,1
"2010greatbritain","jalguersuari",0,1
"2010greatbritain","hkovalainen",0,1
"2010greatbritain","tglock",0,1
"2010greatbritain","mwebber",0,1
"2010greatbritain","vliuzzi",0,1
"2010greatbritain","jtrulli",0,1
"2010greatbritain","ldigrassi",0,1
"2010greatbritain","kchandhok",0,1
"2010greatbritain","syamamoto",0,1
"2010greatbritain","falonso",0,1
"2010greatbritain","lhamilton",0,1
"2010greatbritain","nrosberg",0,1
"2010greatbritain","rkubica",0,1
"2010greatbritain","fmassa",0,1
"2010greatbritain","rbarrichello",0,1
"2010greatbritain","pdelarosa",0,1
"2010greatbritain","pdiresta",0,1
"2010greatbritain","ffauzy",0,1
"2010germany","svettel",0,1
"2010germany","nhulkenberg",0,1
"2010germany","mschumacher",0,1
